strategy_name,total_patients_processed,mean_wait_time_minutes,max_wait_time_minutes,nurse_utilization_percent,machine_utilization_percent,avg_session_time_minutes,sessions_truncated_count,failed_patients_count
FIXED,18,61.53333333333333,116.0,0.2777777777777778,0.6261695906432748,222.4,9,3
FIFO,17,3.8823529411764706,16.0,0.2361111111111111,0.6230555555555556,240.0,0,0
FIXED,17,59.470588235294116,128.0,0.2361111111111111,0.6881944444444444,224.52941176470588,11,0
FIFO,17,2.0588235294117645,8.0,0.2361111111111111,0.6166666666666667,239.76470588235293,1,0
FIXED,17,51.05882352941177,122.0,0.2361111111111111,0.6616666666666666,226.35294117647058,10,0
FIFO,16,23.933333333333334,56.0,0.4166666666666667,0.5681944444444444,228.8,6,1
FIXED,16,31.181818181818183,69.0,0.3055555555555556,0.4140277777777778,224.72727272727272,6,5
FIFO,18,38.625,69.0,0.4444444444444444,0.6329166666666667,230.8125,6,2
FIXED,18,74.3,127.0,0.2777777777777778,0.40569444444444447,222.9,6,8
FIFO,16,4.25,14.0,0.2962962962962963,0.6163742690058479,239.5625,1,0
FIXED,16,57.25,136.0,0.2962962962962963,0.6714912280701755,219.9375,9,0
FIFO,16,0.75,5.0,0.2222222222222222,0.6099415204678362,240.0,0,0
FIXED,16,40.8,105.0,0.20833333333333334,0.6092105263157894,230.66666666666666,7,1
FIFO,17,3.176470588235294,14.0,0.2361111111111111,0.6198611111111111,239.35294117647058,2,0
FIXED,17,58.8235294117647,117.0,0.2361111111111111,0.6694444444444444,219.35294117647058,12,0
FIFO,17,1.7058823529411764,8.0,0.2361111111111111,0.6179166666666667,240.0,0,0
FIXED,17,55.8235294117647,123.0,0.2361111111111111,0.6802777777777778,224.35294117647058,10,0
FIFO,18,32.0,69.0,0.4444444444444444,0.62625,230.25,6,2
FIXED,18,56.76923076923077,102.0,0.3611111111111111,0.5301388888888889,223.3846153846154,6,5
FIFO,16,1.5,9.0,0.2222222222222222,0.5811111111111111,240.0,0,0
FIXED,16,43.5625,103.0,0.2222222222222222,0.6379166666666667,232.875,7,0
FIFO,18,5.722222222222222,19.0,0.25,0.6595833333333333,238.38888888888889,3,0
FIXED,18,40.44444444444444,134.0,0.25,0.6997222222222222,227.88888888888889,8,0
FIFO,18,28.0625,57.0,0.4444444444444444,0.6510233918128655,230.25,6,2
FIXED,18,69.33333333333333,116.0,0.25,0.3785087719298246,216.0,6,9
FIFO,18,15.777777777777779,31.0,0.3333333333333333,0.6806944444444445,236.5,4,0
FIXED,18,65.75,142.0,0.2222222222222222,0.4725,218.75,9,6
FIFO,16,6.0,15.0,0.2962962962962963,0.5866666666666667,239.5,2,0
FIXED,16,50.125,144.0,0.2962962962962963,0.6330555555555556,224.625,9,0
FIFO,17,9.647058823529411,26.0,0.3148148148148148,0.6633040935672515,238.0,4,0
FIXED,17,54.92857142857143,123.0,0.25925925925925924,0.581140350877193,222.42857142857142,9,3
FIFO,18,50.125,87.0,0.4444444444444444,0.6595029239766081,227.625,6,2
FIXED,18,58.9,127.0,0.2777777777777778,0.42076023391812867,220.5,6,8
FIFO,16,6.125,19.0,0.2962962962962963,0.6201754385964913,239.25,2,0
FIXED,16,58.53333333333333,128.0,0.2777777777777778,0.629093567251462,222.4,9,1
FIFO,18,13.444444444444445,27.0,0.3333333333333333,0.7114035087719298,238.05555555555554,3,0
FIXED,18,55.375,147.0,0.2962962962962963,0.6843567251461988,223.5,9,2
FIFO,17,29.866666666666667,66.0,0.4166666666666667,0.5744444444444444,226.0,6,2
FIXED,17,47.72727272727273,105.0,0.3055555555555556,0.4240277777777778,219.8181818181818,6,6
FIFO,18,28.6875,70.0,0.4444444444444444,0.6095833333333334,227.625,6,2
FIXED,18,46.55555555555556,126.0,0.25,0.3516666666666667,221.33333333333334,6,9
FIFO,18,34.125,66.0,0.4444444444444444,0.6290277777777777,230.625,6,2
FIXED,18,66.9,120.0,0.2777777777777778,0.4048611111111111,218.4,6,8
FIFO,17,1.8823529411764706,11.0,0.2361111111111111,0.6161111111111112,239.05882352941177,3,0
FIXED,17,53.88235294117647,119.0,0.2361111111111111,0.6676388888888889,219.35294117647058,12,0
FIFO,18,8.777777777777779,18.0,0.3333333333333333,0.6693055555555556,239.22222222222223,2,0
FIXED,18,64.42857142857143,150.0,0.25925925925925924,0.5795833333333333,219.42857142857142,9,4
FIFO,17,28.375,54.0,0.4444444444444444,0.6161111111111112,229.125,6,1
FIXED,17,64.44444444444444,133.0,0.25,0.3552777777777778,217.33333333333334,6,8
FIFO,17,24.4375,57.0,0.4444444444444444,0.6066666666666667,228.5625,6,1
FIXED,17,39.18181818181818,95.0,0.3055555555555556,0.4186111111111111,223.0909090909091,6,6
FIFO,16,1.5625,10.0,0.2222222222222222,0.5811111111111111,239.9375,1,0
FIXED,16,56.5625,147.0,0.2222222222222222,0.6372222222222222,221.8125,10,0
FIFO,16,27.133333333333333,57.0,0.4166666666666667,0.5684722222222223,227.6,6,1
FIXED,16,41.6,83.0,0.2777777777777778,0.3813888888888889,223.8,6,6
FIFO,16,2.9375,16.0,0.2222222222222222,0.5816666666666667,238.8125,3,0
